Date,Surface,Rd,Opponent,Score,DR,A%,DF%,1stIn,1st%,2nd%,Player,Ret_TPW,Ret_RPW,Ret_vA%,Ret_v1st%,Ret_v2nd%,Ret_BPCnv,Ret_Time
3‑Feb‑2025,Hard,R16,Hiroki Moriya,6-3 6-4,2.19,8.2%,0.0%,73.5%,77.8%,92.3%,Adam Walton,57.0%,40.3%,0.0%,33.3%,48.5%,2/7,1:42
3‑Feb‑2025,Hard,R32,Govind Nanda,6-2 6-4,1.33,8.6%,1.7%,74.1%,76.7%,53.3%,Adam Walton,55.4%,38.9%,3.7%,36.4%,42.9%,3/10,1:33
27‑Jan‑2025,Hard,SF,Tristan Schoolkate,4-6 6-3 7-6(5),0.91,3.7%,0.0%,73.8%,65.8%,64.3%,Adam Walton,48.4%,31.5%,18.5%,21.5%,46.5%,2/9,2:33
27‑Jan‑2025,Hard,QF,Bernard Tomic,6-4 7-5,1.52,12.7%,1.6%,57.1%,83.3%,55.6%,Adam Walton,55.4%,43.5%,9.4%,35.2%,58.1%,3/10,1:39
27‑Jan‑2025,Hard,R16,Shinji Hazawa,6-4 6-3,1.55,14.0%,2.0%,74.0%,78.4%,53.8%,Adam Walton,56.4%,43.3%,8.3%,35.1%,56.5%,4/6,1:33
27‑Jan‑2025,Hard,R32,Andre Ilagan,6-2 6-4,1.48,12.3%,0.0%,70.2%,70.0%,58.8%,Adam Walton,57.0%,49.3%,1.4%,46.0%,57.1%,4/9,1:37
13‑Jan‑2025,Hard,R128,Quentin Halys,4-6 4-6 6-4 7-6(4) 7-5,1.07,7.0%,0.6%,66.9%,74.3%,67.3%,Adam Walton,50.5%,29.9%,18.9%,16.2%,50.8%,2/6,3:38
6‑Jan‑2025,Hard,R32,Arthur Cazaux,7-5 6-1,0.71,6.9%,1.7%,63.8%,54.1%,42.9%,Adam Walton,42.0%,35.6%,12.3%,26.3%,45.7%,1/10,1:42
6‑Jan‑2025,Hard,Q2,Rinky Hijikata,1-6 7-6(4) 6-4,0.87,4.2%,3.1%,58.3%,78.6%,37.5%,Adam Walton,47.9%,33.7%,9.8%,22.8%,51.4%,2/7,2:21
6‑Jan‑2025,Hard,Q1,Dusan Lajovic,6-4 4-6 6-3,1.14,7.5%,0.0%,62.4%,75.9%,42.9%,Adam Walton,53.1%,41.7%,9.5%,35.7%,53.6%,4/6,2:04
30‑Dec‑2024,Hard,R32,Frances Tiafoe,7-6(5) 6-3,0.72,19.7%,6.1%,57.6%,78.9%,39.3%,Adam Walton,44.7%,27.3%,19.7%,19.6%,45.0%,1/4,1:30
11‑Nov‑2024,Hard,R32,Ethan Quinn,6-3 6-4,0.85,3.9%,11.8%,45.1%,73.9%,60.7%,Adam Walton,45.9%,28.3%,15.0%,20.9%,47.1%,0/2,1:12
4‑Nov‑2024,Hard,R32,Brandon Holt,6-4 6-3,0.88,8.3%,0.0%,54.2%,80.8%,50.0%,Adam Walton,45.1%,29.2%,10.8%,23.4%,44.4%,0/3,1:21
21‑Oct‑2024,Hard,F,Taro Daniel,6-4 7-5,0.84,8.2%,2.4%,65.9%,69.6%,37.9%,Adam Walton,46.7%,34.5%,13.1%,19.5%,48.8%,1/10,1:53
21‑Oct‑2024,Hard,SF,Aleksandar Vukic,6-3 5-7 6-3,1.13,16.1%,6.5%,54.8%,82.4%,47.6%,Adam Walton,53.1%,37.8%,20.7%,23.3%,53.8%,4/7,1:58
21‑Oct‑2024,Hard,QF,Mackenzie Mcdonald,6-1 7-6(0),1.39,8.6%,5.7%,51.4%,72.2%,70.6%,Adam Walton,57.0%,39.7%,13.8%,30.6%,54.5%,2/4,1:36
21‑Oct‑2024,Hard,R16,Tsung Hao Huang,7-5 6-1,1.6,10.5%,1.8%,70.2%,75.0%,47.1%,Adam Walton,59.0%,53.2%,2.6%,40.0%,71.9%,6/14,1:25
21‑Oct‑2024,Hard,R32,Antoine Escoffier,6-4 1-6 6-1,1.1,8.2%,2.7%,64.4%,76.6%,42.3%,Adam Walton,52.1%,39.1%,13.0%,35.1%,43.8%,3/8,1:42
14‑Oct‑2024,Hard,SF,Mackenzie Mcdonald,6-3 6-4,1.0,16.7%,2.1%,47.9%,78.3%,60.0%,Adam Walton,47.0%,31.3%,11.9%,22.2%,41.9%,0/3,1:16
14‑Oct‑2024,Hard,QF,James Mccabe,6-3 3-0 RET,1.94,17.2%,0.0%,69.0%,85.0%,44.4%,Adam Walton,61.1%,53.5%,7.0%,45.0%,60.9%,4/7,0:54
14‑Oct‑2024,Hard,R16,Fajing Sun,7-6(5) 7-5,1.22,15.7%,7.1%,48.6%,73.5%,58.3%,Adam Walton,52.6%,41.7%,7.1%,33.3%,50.0%,4/9,2:05
14‑Oct‑2024,Hard,R32,Jie Cui,6-4 6-3,1.82,26.0%,2.0%,62.0%,87.1%,73.7%,Adam Walton,56.9%,32.7%,7.7%,14.8%,52.0%,2/3,1:17
7‑Oct‑2024,Hard,QF,James Duckworth,6-4 6-4,0.72,14.8%,5.6%,53.7%,79.3%,52.0%,Adam Walton,45.4%,24.1%,20.4%,20.0%,35.7%,0/1,1:11
7‑Oct‑2024,Hard,R16,Fajing Sun,6-3 6-4,3.46,15.6%,4.4%,68.9%,100.0%,64.3%,Adam Walton,61.9%,38.5%,0.0%,34.6%,42.3%,2/3,1:13
7‑Oct‑2024,Hard,R32,Ugo Blanchet,3-6 7-6(6) 6-4,1.0,7.1%,5.1%,65.3%,68.8%,50.0%,Adam Walton,49.1%,37.9%,7.8%,25.4%,52.8%,3/13,2:31
