DR,A%,DF%,1stIn,1st%,2nd%
1.27,6.9%,6.3%,63.2%,71.1%,50.2%
1.15,4.7%,6.3%,61.9%,67.4%,44.5%
1.23,7.5%,7.9%,60.9%,71.4%,47.0%
1.06,5.4%,5.2%,62.3%,68.4%,46.2%
1.2,5.5%,5.4%,60.9%,70.2%,50.8%
1.12,7.1%,5.8%,62.1%,69.9%,47.5%
1.2,7.2%,6.4%,62.9%,70.9%,47.8%
1.2,5.9%,4.9%,61.9%,71.0%,47.3%
1.15,7.2%,6.2%,58.9%,65.9%,49.0%
1.15,4.6%,4.2%,66.8%,64.9%,48.2%
